Note,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Precursor m/z,Product m/z,Product Charge,Explicit Retention Time,InChiKey,Explicit Collision Energy
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---0.6,C4H4N2O2,[M+H]+,1,113.03510235,43.01536,1,38.3265018,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---0.6,C4H4N2O2,[M+H]+,1,113.03510235,70.02571,1,38.3265018,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---0.6,C4H4N2O2,[M+H]+,1,113.03510235,96.00312,1,38.3265018,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---12.9,C4H4N2O2,[M+H]+,1,113.03510235,43.01536,1,776.10318,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---12.9,C4H4N2O2,[M+H]+,1,113.03510235,70.02571,1,776.10318,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---12.9,C4H4N2O2,[M+H]+,1,113.03510235,96.00312,1,776.10318,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---5.9,C4H4N2O2,[M+H]+,1,113.03510235,43.01536,1,351.39141,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---5.9,C4H4N2O2,[M+H]+,1,113.03510235,70.02571,1,351.39141,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-00dp-9000000000-9f229e9fc2c43a4786b2,Diazines,Uracil---5.9,C4H4N2O2,[M+H]+,1,113.03510235,96.00312,1,351.39141,ISAKRJDGNUQOIC-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---8.6,C9H10O2,[M+H]+,1,151.07590453,43.991644202808,1,517.85181,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---8.6,C9H10O2,[M+H]+,1,151.07590453,59.37674942857143,1,517.85181,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---8.6,C9H10O2,[M+H]+,1,151.07590453,86.97503048572376,1,517.85181,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---8.6,C9H10O2,[M+H]+,1,151.07590453,105.0225841666667,1,517.85181,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---8.6,C9H10O2,[M+H]+,1,151.07590453,133.11293500000002,1,517.85181,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---11.3,C9H10O2,[M+H]+,1,151.07590453,43.991644202808,1,675.24258,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---11.3,C9H10O2,[M+H]+,1,151.07590453,59.37674942857143,1,675.24258,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---11.3,C9H10O2,[M+H]+,1,151.07590453,86.97503048572376,1,675.24258,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---11.3,C9H10O2,[M+H]+,1,151.07590453,105.0225841666667,1,675.24258,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-000i-9000000000-d34f1ea4f8487e76cd32,Benzene and substituted derivatives,Benzylacetate---11.3,C9H10O2,[M+H]+,1,151.07590453,133.11293500000002,1,675.24258,QUKGYYKBILRGFE-UHFFFAOYSA-N,35
splash10-0ac0-0900000000-460a53b87a7899b7e066,Isoflavonoids,Equol---10.2,C15H14O3,[M+H]+,1,243.10211925,77.03362,1,610.236,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,35
splash10-0ac0-0900000000-460a53b87a7899b7e066,Isoflavonoids,Equol---10.2,C15H14O3,[M+H]+,1,243.10211925,105.06867,1,610.236,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,35
splash10-0ac0-0900000000-460a53b87a7899b7e066,Isoflavonoids,Equol---10.2,C15H14O3,[M+H]+,1,243.10211925,107.04433,1,610.236,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,35
